target_hash,fiber_timestamp,bloxroute_timestamp,diff,seen_first,winner,backrun_hash,node_source
0x3f991f978146db5562982a56059cf6b7ced88316cd4e12b12a3e3f4861e94663,1676994831242,1676994831243,1,fiber,fiber,0xf81d73b741ebe964ab1a89074049adf3a16abc22403ee6cf40d1262a217e0203,residential_belgium
0x9a51ecb275b7b74680c2d8a597893d82008feea53075f7df2bc5ff91aad4989f,1676994886075,1676994886080,5,fiber,fiber,0xbbe62c4ef8be546c463fa459b85edcaee9c6803ea27e8d441ed2b417d58184c9,residential_belgium
0xbbd84d418a12e873be61b023a9167da2c9f155ff99fbee85a2bc6bc5071b23fc,1677072642975,1677072642992,17,fiber,fiber,0x8c1f09706cc369ea1acf9a324d2961653f2dce9a41d8cd65107db506c74bb120,random
0xb9cefec20fc7933b01a282032babe314e50d8c8ff584b59bc22421c39ec1fbd2,1677072935431,1677072935428,-3,bloxroute,bloxroute,0x8a064c036f6c520d596a050c7d9f47d0dda41741ab9ea9e7d527d650eb8a32cc,random
0xff827183b1507863faac4dc0fff8315501f6be444488818be7cfee44b8e973a9,1677073073530,1677073073548,18,fiber,fiber,0xf808e49f54ceec3f24f109167dc892cda88dcd938819080cc66de1175ac9411d,random
0xdd476299e0dedefc7502500ea4f21a3b03dae96b7abcd171ae4966b6eaa7574e,1677073123058,1677073123059,1,fiber,fiber,0xe2b5daa542a2f2a80ed271815132d99f4a70f495b9821965cfa77f084ddeab16,random
0x8081a3d3ab67c229456b30426e6c7039308b1b4482df2c036326e9addc578cb2,1677073219316,1677073219345,29,fiber,fiber,0x89338e41e39add984366ece04009c532012df1dfc4f632e63b12ce584316d614,random
0x224f5cd2193c11e64d2fd076ef0855714684150ac276121764626a933f5901a7,1677073302753,1677073302765,12,fiber,fiber,0xda513b53a8553faa5083e63f7428f8516dbd38a50231821b6e3a919042b2cd61,random
0x90275cfb68343e39c39704bc02a3cfad6e9eebd270f70c7b26ee5cef152212e5,1677073364617,1677073364633,16,fiber,fiber,0x92781426bf6749ed62db5095e395ebcb060fa9b6a080f8ceb5d8979627232b88,random
0x69fecc64bfc191d222e387427b743ce3f96e23dfb8565ec174528342c170c18c,1677073406998,1677073407038,40,fiber,fiber,0x56577d5811727dbd7dc78188f84455de1aa375bf412bfb007575814521059ea6,random
0xf8c599d2852ee7e39d0440573fa110001936901d2ae435cadb7277975583db5b,1677073524620,1677073524637,17,fiber,fiber,0x7d049b2980825abfb9f98ac11f2433a2bc22a0f0f8a8f641ed31e42adaa574c1,random
0x23737231ee6248585058c9d2f2e0710b8ae0e3ac4fe7fc5e202be2548d11e3a2,1677073568310,1677073568333,23,fiber,fiber,0xf00d9536f915dc99c974c6c54e442c61a06118e7aac6399a6d576d1ce38fe348,random
0xcd9491102df6ad9210c962b094261f6946cbdcadccccbec5a1d4b6eee688a853,1677073620134,1677073620141,7,fiber,fiber,0xca7c39b2aa82b068b28e339f7b47c6942aeb91ff014811e3c8ae297039a354ff,random
0x6a728d800e1278567419b03147579969de7c0ea1407c32f0e62d15a2e763db50,1677073740964,1677073740970,6,fiber,fiber,0x3460e267bf7d0b32b8f0250229ee6c789a49fc561ef596bfa88935cca046aff8,random
0x5b59c6d13ef894ca03f18c2259986cd6697c104b63650d540138be8090d55605,1677073810936,1677073810932,-4,bloxroute,fiber,0x7d1f07297d9d1af1f3c715c9998c251bf50219d0d15992b4ab024e7983aef868,random
0x802d2350c92daac64658cfc3151b7b2e7079bc1dab139cf26cc01f3f55e5fdcf,1677073892464,1677073892474,10,fiber,fiber,0xc7489e072b771481a77d7fafc98e34c7bf6b90278cacec30e4269050316bdb5c,random
0xa7f2bb4fc49fb3c06d8f3fcd7d198b6f9f50fcc0009dd89c652169bbb3dafa28,1677073970158,1677073970172,14,fiber,fiber,0xbd3b6ecaffd858945a4d01cc88ec5e5c336d31ec2966ccda3070fe29ced00cf6,random
0xeb3d37c2c13dfd247b51a3247be7fa34d4c8c274acfc2090ef5f85194088c0eb,1677074039971,1677074039984,13,fiber,fiber,0x4b1296758db80ab6039f9d66ff1fcb9abe06900861088023d69be653026ede8b,random
0x056acd35e77a41b3da7af75e4b5e1211e4cfcc84c122ff5a651c2b8dde3008b4,1677074096499,1677074096499,0,na,bloxroute,0x5f7edfe4340d2c98148dfab2cd2aba226073a069df52af0c14c851a860280664,random
0x3021ce20a1e7c9f135d36cd6e47c6dba1b6248269597111bb849e53aa0dbe727,1677074138850,1677074138852,2,fiber,fiber,0x95a493d6f94f6cc1d8ad208dd7fbf79de8499a6bdcb7001cd466ec62b8690f86,random
0x11dc97c8f848884b29a515f015d1165c840ad9ded8fa68f24895c0a723a9148b,1677074175356,1677074175371,15,fiber,fiber,0x5ed6ac17ac2c316a753d8634fd0bc7686b146ec5b53328e5cda3b6ece8ecc923,random
0xc15c8e4e40fccfc765728a7bba1005b10bee0f5118371fcd075822b81186ec2b,1677074276953,1677074277023,70,fiber,fiber,0x9d4857b62e51b2e3d320a2cad65b5a726d92263308ef2b64b604db943109d480,random
0x1ed6f8be0ddb22d41ff526b5ca0dfe1d918878ab16cc382645b366c25138c1fc,1677074335692,1677074335696,4,fiber,fiber,0xf6dffafae6a55cd6e1d149bec54f3885946972a83ca77c8441420c61b59a49e6,random
0xb23cba56e030e4dd9d8fa8f54258589dabb3e3ce7de14f7a58c9cd46093fcee4,1677074377532,1677074377532,0,na,fiber,0xcbaba6cad2852e79bb7ce9fe0a5de0395672d4095fe8c39847dd500166f4adc1,random
0xfe7df77686b0f809a73dfc65285c6dc7a47a2de7083285c8a35f858816503be5,1677074415993,1677074416011,18,fiber,fiber,0x4459212fde009371e56b1192a70ab4b05c3c8eaf813886f7f7c0ceddd8b39d00,random
0x35706f2651eb9d26e77cfba2a609512eb21b201866d6dfc7052d46a7f9a4cd79,1677074457571,1677074457584,13,fiber,fiber,0x1f01b6c351f1028a00a6cdf9bd0aefab6a9d52bd21c8359b54045e76a0281d79,random
0xe7ecbb24eb3184956e73fecfed8ca138231554c202d70eabebbd3ee21b8635d5,1677074553036,1677074553040,4,fiber,fiber,0xc0628390bae9e18cf361c44045e2ba3cf8cf411d2e246eef1abb889bc6794af0,random
0xefbffa771805a1e86f18e9c5934f2f7ff16d8a7997bc1498dcc44d1e0b6d9c24,1677074609287,1677074609290,3,fiber,fiber,0x314dba6b2287bc7ada483726a662f156f455af3cce3b6c2d96dd0f570e3b6874,random
0x731c64751b9a70010a7aac946bdaadae8ccaa97725d21869e985f1281e902047,1677074702251,1677074702274,23,fiber,fiber,0x46000aaa22427a6280f99a1ce2c81eaeaa448e1f847dfa90510eec6cdf7e59d1,random
0x35f56bd773a04e7a0de36bb2abfc0c5bc7db95f7eb3e3fc68cf473c0b9e2ef86,1677074754525,1677074754532,7,fiber,fiber,0xea9239258aded1b89c2de061079a827c82578e7b317baf04cef50ff0277b0249,random
0x0822bd1f3f3d7b57770709e39e043a3a0a81e8697cb5c7b3b129860ce4e19bc0,1677074797118,1677074797148,30,fiber,fiber,0xb8b22eb858fa8e06a7bd90ed1f92031cd221b7f5e5e1a4190bd10c2f75d16678,random
0x188403cb7dfd0404548c4d6c2747b9930d3569e07d73581abc27e02ae40b1699,1677074838457,1677074838458,1,fiber,fiber,0x872759bda2371fa57336a59f45734d80630837ecd2e42405aadd49b621b7fc49,random
